Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
25-35,she/hers,White,No,No,Yes,Yes,5-10 years,2-5 years,Other,,,,,,,,No,,,Agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree        ,Agree        ,N/A,N/A,N/A,N/A,N/A,Disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,Unsure,Yes,20+ years,10-15 years,"Colleagues I work with regularly,My direct supervisor (if not library director)",,When my illness/disability impacted my work,When my illness/disability impacted my work,,,,,Yes,No,"Work environment (furniture, office location, etc.)",Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree        ,Strongly agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree
25-35,Other,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,Library director ,Other","When my illness/disability impacted my work,As I built a personal relationship with colleagues","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Agree        ,Strongly agree        ,Agree        ,Disagree        ,Neither agree nor disagree      ,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree
25-35,she/hers,White,No,,Yes,Yes,5-10 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,During the interview/hiring process,Yes,Yes,"Work environment (furniture, office location, etc.)",Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Disagree,Strongly disagree        ,Strongly disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Agree,Agree,N/A,N/A,N/A,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,5-10 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office",As I built a personal relationship with colleagues,,As I built a personal relationship with colleagues,,,As I built a personal relationship with colleagues,,No,,,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,N/A,Agree,Strongly disagree,Agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,No,Unsure,20+ years,10-15 years,No one,,,,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree        ,Agree        ,N/A,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,No,No,10-15 years,Less than 2 years,Colleagues I work with regularly,,When my illness/disability impacted my work,,,,,,No,,,N/A,N/A,N/A,Agree,N/A,Agree,N/A,Agree        ,Agree        ,Strongly agree        ,Disagree        ,Disagree        ,N/A,N/A,Agree        ,Disagree        ,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,10-15 years,I am open about my illness/disability with everyone,,,,,,,As I built a personal relationship with colleagues,No,,,Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree        ,Disagree        ,Agree        ,Agree        ,Disagree        ,Strongly agree        ,Agree        ,Disagree        ,Disagree        ,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
35-45,she/hers,White,Yes,Yes,No,No,10-15 years,5-10 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office",Upon receiving a diagnosis or beginning treatment,,"When my illness/disability impacted my work,When requesting accommodations",,,Upon receiving a diagnosis or beginning treatment,,Yes,Unsure,,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,N/A,Disagree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Agree        ,Strongly agree        ,Neither agree nor disagree      ,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,10-15 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office","Once I began working,Upon receiving a diagnosis or beginning treatment,As I built a personal relationship with colleagues",,"Once I began working,Upon receiving a diagnosis or beginning treatment",,,Other,,Yes,Yes,Other,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree        ,Neither agree nor disagree      ,Strongly agree        ,Agree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Strongly disagree        ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,15-20 years,"Colleagues I consider close friends,Other",As I built a personal relationship with colleagues,,,,,,,No,,,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,5-10 years,I am open about my illness/disability with everyone,,,,,,,When my illness/disability impacted my work,Yes,Yes,"Work environment (furniture, office location, etc.)",N/A,N/A,Agree,Agree,N/A,Agree,Disagree,Strongly disagree        ,Disagree        ,Strongly disagree        ,Disagree        ,Strongly disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
35-45,,White,No,No,Yes,Yes,10-15 years,5-10 years,I am open about my illness/disability with everyone,,,,,,,Other,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,Agree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
35-45,he/his,"Hispanic/Latinx,White",Yes,Yes,Unsure,Unsure,10-15 years,5-10 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,When my illness/disability impacted my work,,,,,Yes,Yes,"Work environment (furniture, office location, etc.)",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree      ,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,N/A,Strongly disagree,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
